name,price,description,type,maxLevel,currentLevel,areaId,positionX,positionY,buildingId
mainhouse,100,This is description,HOUSE,1,1,1,132,160,21
tree04,100,This is description,TREE,1,1,1,406,134,1
tree04,100,This is description,TREE,1,1,1,445,-63,1
tree04,100,This is description,TREE,1,1,1,-530,-65,1
tree04,100,This is description,TREE,1,1,1,-75,-348,1
tree04,100,This is description,TREE,1,1,1,-269,-354,1
tree05,100,This is description,TREE,1,1,1,581,298,2
tree05,100,This is description,TREE,1,1,1,-186,126,2
tree05,100,This is description,TREE,1,1,1,-253,363,2
tree05,100,This is description,TREE,1,1,1,-252,-38,2
tree05,100,This is description,TREE,1,1,1,-800,-350,2
tree05,100,This is description,TREE,1,1,1,-800,-50,2
tree05,100,This is description,TREE,1,1,1,-300,-350,2
tree06,100,This is description,TREE,1,1,1,-800,-200,3
tree06,100,This is description,TREE,1,1,1,407,-350,3
tree06,100,This is description,TREE,1,1,1,590,-240,3
tree06,100,This is description,TREE,1,1,1,220,-343,3
tree06,100,This is description,TREE,1,1,1,-541,356,3
tree06,100,This is description,TREE,1,1,1,-479,-200,3
tree06,100,This is description,TREE,1,1,1,-100,-350,3
tree06,100,This is description,TREE,1,1,1,-200,273,3
tree06,100,This is description,TREE,1,1,1,580,124,3
tree06,100,This is description,TREE,1,1,1,400,130,3
tree07,100,This is description,TREE,1,1,1,660,-100,4
tree07,100,This is description,TREE,1,1,1,660,-351,4
tree07,100,This is description,TREE,1,1,1,-263,-167,4
tree07,100,This is description,TREE,1,1,1,57,-294,4
tree07,100,This is description,TREE,1,1,1,381,340,4
tree07,100,This is description,TREE,1,1,1,-374,152,4
tree07,100,This is description,TREE,1,1,1,800,-200,4
tree06,100,This is description,TREE,1,1,1,-800,152,4
stone01,100,This is description,STONE,1,1,1,351,-105,5
stone02,100,This is description,STONE,1,1,1,174,-253,6
stone02,100,This is description,STONE,1,1,1,329,-321,6
stone04,100,This is description,STONE,1,1,1,-382,-143,8
stone03,100,This is description,STONE,1,1,1,155,-262,7
stone05,100,This is description,STONE,1,1,1,-50,-224,9
stone06,100,This is description,STONE,1,1,1,510,10,10
stone07,100,This is description,STONE,1,1,1,400,281,11
stone08,100,This is description,STONE,1,1,1,519,207,12
stone09,100,This is description,STONE,1,1,1,112,0,15
stone09,100,This is description,STONE,1,1,1,-388,270,16
stone09,100,This is description,STONE,1,1,1,453,261,17
stone09,100,This is description,STONE,1,1,1,-240,-230,18
stone09,100,This is description,STONE,1,1,1,370,100,19
root01,100,This is description,ROOT,1,1,1,-80,273,20
root01,100,This is description,ROOT,1,1,1,-507,272,20
root01,100,This is description,ROOT,1,1,1,-378,-69,20
root01,100,This is description,ROOT,1,1,1,-586,-100,20
root01,100,This is description,ROOT,1,1,1,560,-30,20
root01,100,This is description,TREE,1,1,1,-70,126,2
plantingland,100,This is description,PLANTING_LAND,1,1,1,0,-100,23
plantingland,100,This is description,PLANTING_LAND,1,1,1,222,-100,23
root01,100,This is description,TREE,1,1,1,57,-400,2
root01,100,This is description,TREE,1,1,1,200,-400,2
root01,100,This is description,TREE,1,1,1,-300,-400,2
tree06,100,This is description,TREE,1,1,1,-600,152,4
tree06,100,This is description,TREE,1,1,1,-800,350,4
tree06,100,This is description,TREE,1,1,1,-450,-400,3
tree05,100,This is description,TREE,1,1,1,-500,-40,2
tree07,100,This is description,TREE,1,1,1,-650,-220,4
tree06,100,This is description,TREE,1,1,1,-630,-400,3
tree06,100,This is description,TREE,1,1,1,320,-430,3
